Date,Portfolio,Return,"Rolling VaR (95%, 252D)","Rolling ES (95%, 252D)",VaR Breach,ES Breach
2016-05-06,Equal Weighted Portfolio,0.010017951560541239,,,,
2016-05-09,Equal Weighted Portfolio,0.0008196433064908471,,,,
2016-05-10,Equal Weighted Portfolio,0.01875276631179723,,,,
2016-05-11,Equal Weighted Portfolio,-0.0005661893382125306,,,,
2016-05-12,Equal Weighted Portfolio,-0.004842665580247086,,,,
2016-05-13,Equal Weighted Portfolio,0.026221027191855373,,,,
2016-05-16,Equal Weighted Portfolio,0.01806655183642065,,,,
2016-05-17,Equal Weighted Portfolio,-0.011329462042524076,,,,
2016-05-18,Equal Weighted Portfolio,0.009325955623570258,,,,
2016-05-19,Equal Weighted Portfolio,-0.003292922402972742,,,,
2016-05-20,Equal Weighted Portfolio,0.010855779725283954,,,,
2016-05-23,Equal Weighted Portfolio,-0.0027452912964429426,,,,
2016-05-24,Equal Weighted Portfolio,0.02077967047485556,,,,
2016-05-25,Equal Weighted Portfolio,0.007348121071603097,,,,
2016-05-26,Equal Weighted Portfolio,0.004363891337577997,,,,
2016-05-27,Equal Weighted Portfolio,0.00424473124167446,,,,
2016-05-31,Equal Weighted Portfolio,0.008993688229868303,,,,
2016-06-01,Equal Weighted Portfolio,-0.004338437793176153,,,,
2016-06-02,Equal Weighted Portfolio,-6.86700693785403e-05,,,,
2016-06-03,Equal Weighted Portfolio,-0.007968910152011245,,,,
2016-06-06,Equal Weighted Portfolio,0.0004554583459412064,,,,
2016-06-07,Equal Weighted Portfolio,0.0002901721102849698,,,,
2016-06-08,Equal Weighted Portfolio,0.002987546507281902,,,,
2016-06-09,Equal Weighted Portfolio,0.005378399159333292,,,,
2016-06-10,Equal Weighted Portfolio,-0.012363479509255027,,,,
2016-06-13,Equal Weighted Portfolio,-0.006702730357620545,,,,
2016-06-14,Equal Weighted Portfolio,0.00050483859609054,,,,
2016-06-15,Equal Weighted Portfolio,-0.00039113856066699294,,,,
2016-06-16,Equal Weighted Portfolio,0.0029927427053599636,,,,
2016-06-17,Equal Weighted Portfolio,-0.017422353121440005,,,,
2016-06-20,Equal Weighted Portfolio,0.005606902001850812,,,,
2016-06-21,Equal Weighted Portfolio,0.006107617095164631,,,,
2016-06-22,Equal Weighted Portfolio,-0.002723020577310087,,,,
2016-06-23,Equal Weighted Portfolio,0.014591089170676908,,,,
2016-06-24,Equal Weighted Portfolio,-0.03901459773938951,,,,
2016-06-27,Equal Weighted Portfolio,-0.014910651310593725,,,,
2016-06-28,Equal Weighted Portfolio,0.01878178385283045,,,,
2016-06-29,Equal Weighted Portfolio,0.012806890348828625,,,,
2016-06-30,Equal Weighted Portfolio,0.008920365699784983,,,,
2016-07-01,Equal Weighted Portfolio,0.003944653248980524,,,,
2016-07-05,Equal Weighted Portfolio,0.000568045370356973,,,,
2016-07-06,Equal Weighted Portfolio,0.0066488129501496305,,,,
2016-07-07,Equal Weighted Portfolio,0.0050901744860837326,,,,
2016-07-08,Equal Weighted Portfolio,0.018604578329386758,,,,
2016-07-11,Equal Weighted Portfolio,0.011149993956341886,,,,
2016-07-12,Equal Weighted Portfolio,0.006338510719704704,,,,
2016-07-13,Equal Weighted Portfolio,-0.0025847271649764194,,,,
2016-07-14,Equal Weighted Portfolio,0.0075923355803315,,,,
2016-07-15,Equal Weighted Portfolio,-0.004354200832993028,,,,
2016-07-18,Equal Weighted Portfolio,0.008160572328660454,,,,
2016-07-19,Equal Weighted Portfolio,0.0008532897567033347,,,,
2016-07-20,Equal Weighted Portfolio,0.016126988392862397,,,,
2016-07-21,Equal Weighted Portfolio,-0.006179347710176209,,,,
2016-07-22,Equal Weighted Portfolio,0.007888400030615106,,,,
2016-07-25,Equal Weighted Portfolio,-0.0006245250504167015,,,,
2016-07-26,Equal Weighted Portfolio,0.0006894250258145714,,,,
2016-07-27,Equal Weighted Portfolio,0.010172014339872538,,,,
2016-07-28,Equal Weighted Portfolio,0.008643557536102088,,,,
2016-07-29,Equal Weighted Portfolio,0.012480713399628552,,,,
2016-08-01,Equal Weighted Portfolio,0.005300122449120704,,,,
2016-08-02,Equal Weighted Portfolio,-0.007727059369364752,,,,
2016-08-03,Equal Weighted Portfolio,0.003406951680932169,,,,
2016-08-04,Equal Weighted Portfolio,0.007630168128049064,,,,
2016-08-05,Equal Weighted Portfolio,0.012537544412971748,,,,
2016-08-08,Equal Weighted Portfolio,0.0038906481980599764,,,,
2016-08-09,Equal Weighted Portfolio,0.0029011489507337895,,,,
2016-08-10,Equal Weighted Portfolio,-0.003225767223338605,,,,
2016-08-11,Equal Weighted Portfolio,0.005643984097383693,,,,
2016-08-12,Equal Weighted Portfolio,0.010344447394688495,,,,
2016-08-15,Equal Weighted Portfolio,0.0015816058636100253,,,,
2016-08-16,Equal Weighted Portfolio,-0.00501023011320636,,,,
2016-08-17,Equal Weighted Portfolio,-0.0036400436063831034,,,,
2016-08-18,Equal Weighted Portfolio,0.0023272191297446735,,,,
2016-08-19,Equal Weighted Portfolio,-0.0013075336406354944,,,,
2016-08-22,Equal Weighted Portfolio,-0.0008159805590994385,,,,
2016-08-23,Equal Weighted Portfolio,0.0037719164225878295,,,,
2016-08-24,Equal Weighted Portfolio,-0.006379140366923863,,,,
2016-08-25,Equal Weighted Portfolio,-0.000955683160525811,,,,
2016-08-26,Equal Weighted Portfolio,0.0025827323823571563,,,,
2016-08-29,Equal Weighted Portfolio,0.0011615965461938106,,,,
2016-08-30,Equal Weighted Portfolio,-0.005174150311852111,,,,
2016-08-31,Equal Weighted Portfolio,-0.0023568612224640797,,,,
2016-09-01,Equal Weighted Portfolio,0.008372352246268555,,,,
2016-09-02,Equal Weighted Portfolio,0.0013577120959744615,,,,
2016-09-06,Equal Weighted Portfolio,0.008112054527017932,,,,
2016-09-07,Equal Weighted Portfolio,-0.00259136414494956,,,,
2016-09-08,Equal Weighted Portfolio,-0.005988630829441899,,,,
2016-09-09,Equal Weighted Portfolio,-0.028881423946069143,,,,
2016-09-12,Equal Weighted Portfolio,0.017052131690606133,,,,
2016-09-13,Equal Weighted Portfolio,-0.005102288440276515,,,,
2016-09-14,Equal Weighted Portfolio,0.008650708991336575,,,,
2016-09-15,Equal Weighted Portfolio,0.0223799488382193,,,,
2016-09-16,Equal Weighted Portfolio,0.0011116841671192203,,,,
2016-09-19,Equal Weighted Portfolio,-0.002514145464514939,,,,
2016-09-20,Equal Weighted Portfolio,0.0005515131696625323,,,,
2016-09-21,Equal Weighted Portfolio,0.012607645473196505,,,,
2016-09-22,Equal Weighted Portfolio,0.009206075952161052,,,,
2016-09-23,Equal Weighted Portfolio,-0.004714995226020457,,,,
2016-09-26,Equal Weighted Portfolio,-0.008283400157713628,,,,
2016-09-27,Equal Weighted Portfolio,0.01741664028695076,,,,
2016-09-28,Equal Weighted Portfolio,0.005238303900732299,,,,
2016-09-29,Equal Weighted Portfolio,-0.005017505611586404,,,,
2016-09-30,Equal Weighted Portfolio,0.008152474357623073,,,,
2016-10-03,Equal Weighted Portfolio,-0.0031202242349397395,,,,
2016-10-04,Equal Weighted Portfolio,0.00014199068072675566,,,,
2016-10-05,Equal Weighted Portfolio,0.003768630160391817,,,,
2016-10-06,Equal Weighted Portfolio,-0.0013148985875526265,,,,
2016-10-07,Equal Weighted Portfolio,-0.0019370272629066765,,,,
2016-10-10,Equal Weighted Portfolio,0.008413209988733428,,,,
2016-10-11,Equal Weighted Portfolio,-0.008664478255007602,,,,
2016-10-12,Equal Weighted Portfolio,0.003943770522598511,,,,
2016-10-13,Equal Weighted Portfolio,-0.007706399745533044,,,,
2016-10-14,Equal Weighted Portfolio,0.0033899284493653426,,,,
2016-10-17,Equal Weighted Portfolio,-0.004049567689973976,,,,
2016-10-18,Equal Weighted Portfolio,0.009529708650039305,,,,
2016-10-19,Equal Weighted Portfolio,0.00011181453134692101,,,,
2016-10-20,Equal Weighted Portfolio,-0.00021771454730994382,,,,
2016-10-21,Equal Weighted Portfolio,0.009814553427826623,,,,
2016-10-24,Equal Weighted Portfolio,0.023782100967282463,,,,
2016-10-25,Equal Weighted Portfolio,0.0022357046580168795,,,,
2016-10-26,Equal Weighted Portfolio,-0.010016900597564306,,,,
2016-10-27,Equal Weighted Portfolio,-0.00973058409807075,,,,
2016-10-28,Equal Weighted Portfolio,-0.012701784029011207,,,,
2016-10-31,Equal Weighted Portfolio,0.0023058288323534624,,,,
2016-11-01,Equal Weighted Portfolio,-0.011295686091875923,,,,
2016-11-02,Equal Weighted Portfolio,-0.01075817179257781,,,,
2016-11-03,Equal Weighted Portfolio,-0.006536519989832469,,,,
2016-11-04,Equal Weighted Portfolio,-0.007791980158672152,,,,
2016-11-07,Equal Weighted Portfolio,0.03295695870428923,,,,
2016-11-08,Equal Weighted Portfolio,0.00379498574224233,,,,
2016-11-09,Equal Weighted Portfolio,-0.01003390140318019,,,,
2016-11-10,Equal Weighted Portfolio,-0.030158052305917685,,,,
2016-11-11,Equal Weighted Portfolio,0.058743556224923624,,,,
2016-11-14,Equal Weighted Portfolio,-0.028066039658925512,,,,
2016-11-15,Equal Weighted Portfolio,0.025507285497470857,,,,
2016-11-16,Equal Weighted Portfolio,0.02310483330437712,,,,
2016-11-17,Equal Weighted Portfolio,0.00932641075553573,,,,
2016-11-18,Equal Weighted Portfolio,-0.0004345631946424569,,,,
2016-11-21,Equal Weighted Portfolio,0.011408195421549652,,,,
2016-11-22,Equal Weighted Portfolio,0.003545660444640531,,,,
2016-11-23,Equal Weighted Portfolio,-0.005613825929490113,,,,
2016-11-25,Equal Weighted Portfolio,0.002087248682885301,,,,
2016-11-28,Equal Weighted Portfolio,-0.001998587149664366,,,,
2016-11-29,Equal Weighted Portfolio,-0.0008725042793590986,,,,
2016-11-30,Equal Weighted Portfolio,-0.013111423163303805,,,,
2016-12-01,Equal Weighted Portfolio,-0.0197875521735029,,,,
2016-12-02,Equal Weighted Portfolio,0.0025659898515179693,,,,
2016-12-05,Equal Weighted Portfolio,0.017933772805880065,,,,
2016-12-06,Equal Weighted Portfolio,0.004447201476774776,,,,
2016-12-07,Equal Weighted Portfolio,0.01497305638464579,,,,
2016-12-08,Equal Weighted Portfolio,-0.002000404410137069,,,,
2016-12-09,Equal Weighted Portfolio,0.006521721613375563,,,,
2016-12-12,Equal Weighted Portfolio,-0.00757991563047007,,,,
2016-12-13,Equal Weighted Portfolio,0.014941402926200454,,,,
2016-12-14,Equal Weighted Portfolio,0.009448062035274485,,,,
2016-12-15,Equal Weighted Portfolio,0.0036225313841679267,,,,
2016-12-16,Equal Weighted Portfolio,0.00019255453539801515,,,,
2016-12-19,Equal Weighted Portfolio,0.010855015504838495,,,,
2016-12-20,Equal Weighted Portfolio,0.009168522279283754,,,,
2016-12-21,Equal Weighted Portfolio,0.0008152947458067272,,,,
2016-12-22,Equal Weighted Portfolio,-0.0008013523124725812,,,,
2016-12-23,Equal Weighted Portfolio,0.0025636392966726933,,,,
2016-12-27,Equal Weighted Portfolio,0.01839104098696023,,,,
2016-12-28,Equal Weighted Portfolio,-0.016979774286673632,,,,
2016-12-29,Equal Weighted Portfolio,0.0012701056312496742,,,,
2016-12-30,Equal Weighted Portfolio,-0.019190409761639105,,,,
2017-01-03,Equal Weighted Portfolio,-0.002152401182317432,,,,
2017-01-04,Equal Weighted Portfolio,0.004672239292345415,,,,
2017-01-05,Equal Weighted Portfolio,0.003896113372370835,,,,
2017-01-06,Equal Weighted Portfolio,0.013674330284944691,,,,
2017-01-09,Equal Weighted Portfolio,0.009661735716488186,,,,
2017-01-10,Equal Weighted Portfolio,-0.0020894552095932052,,,,
2017-01-11,Equal Weighted Portfolio,0.001993709991323867,,,,
2017-01-12,Equal Weighted Portfolio,-0.002666151994730104,,,,
2017-01-13,Equal Weighted Portfolio,0.0011532652481316408,,,,
2017-01-17,Equal Weighted Portfolio,-0.006041102862504655,,,,
2017-01-18,Equal Weighted Portfolio,0.0033366908435809696,,,,
2017-01-19,Equal Weighted Portfolio,0.002723137642552964,,,,
2017-01-20,Equal Weighted Portfolio,0.0001265344065159769,,,,
2017-01-23,Equal Weighted Portfolio,0.008824493370131714,,,,
2017-01-24,Equal Weighted Portfolio,0.0080869995323821,,,,
2017-01-25,Equal Weighted Portfolio,0.010833535789224547,,,,
2017-01-26,Equal Weighted Portfolio,0.00518893497857229,,,,
2017-01-27,Equal Weighted Portfolio,0.005651982101939179,,,,
2017-01-30,Equal Weighted Portfolio,-0.012021186828612064,,,,
2017-01-31,Equal Weighted Portfolio,-0.00650181730880719,,,,
2017-02-01,Equal Weighted Portfolio,0.019503235571201614,,,,
2017-02-02,Equal Weighted Portfolio,0.003434698595088315,,,,
2017-02-03,Equal Weighted Portfolio,-0.005622372804491826,,,,
2017-02-06,Equal Weighted Portfolio,0.006203016379565773,,,,
2017-02-07,Equal Weighted Portfolio,0.006955049337177855,,,,
2017-02-08,Equal Weighted Portfolio,0.0017429016467310323,,,,
2017-02-09,Equal Weighted Portfolio,0.0006530122297481403,,,,
2017-02-10,Equal Weighted Portfolio,-0.002882864523417661,,,,
2017-02-13,Equal Weighted Portfolio,-0.0016412213995294469,,,,
2017-02-14,Equal Weighted Portfolio,0.004342053613864172,,,,
