Date,Asset,Return,"Rolling VaR (95%, 252D)","Rolling ES (95%, 252D)",VaR Breach,Loss Exceeds ES
2025-01-02,AAPL,-0.02623586096466035,0.021731243726573084,0.02957081585456056,True,False
2025-01-03,AAPL,-0.002009383293515743,0.021731243726573084,0.028836159751104342,False,False
2025-01-06,AAPL,0.006738816013108773,0.021731243726573084,0.028836159751104342,False,False
2025-01-07,AAPL,-0.011387652986937447,0.021731243726573084,0.028836159751104342,False,False
2025-01-08,AAPL,0.0020229888322240708,0.021731243726573084,0.028836159751104342,False,False
2025-01-10,AAPL,-0.024103853242819606,0.021731243726573084,0.028836159751104342,True,False
2025-01-13,AAPL,-0.010344109030425819,0.022163834297145617,0.02900848670161353,False,False
2025-01-14,AAPL,-0.004778069660643203,0.022163834297145617,0.02900848670161353,False,False
2025-01-15,AAPL,0.019675955411234902,0.022163834297145617,0.02900848670161353,False,False
2025-01-16,AAPL,-0.04040023803618342,0.022163834297145617,0.02900848670161353,True,True
2025-01-17,AAPL,0.007535246075507596,0.02284132976646845,0.03038306010444208,False,False
2025-01-21,AAPL,-0.03191579220080276,0.02284132976646845,0.03038306010444208,True,True
2025-01-22,AAPL,0.005344969636105645,0.023618221230903097,0.0310518990469326,False,False
2025-01-23,AAPL,-0.0007595467500304265,0.023618221230903097,0.0310518990469326,False,False
2025-01-24,AAPL,-0.003934642921903042,0.023618221230903097,0.0310518990469326,False,False
2025-01-27,AAPL,0.031780220052910924,0.023618221230903097,0.0310518990469326,False,False
2025-01-28,AAPL,0.036544017962024,0.023618221230903097,0.0310518990469326,False,False
2025-01-29,AAPL,0.004616873847964831,0.023618221230903097,0.0310518990469326,False,False
2025-01-30,AAPL,-0.007394699851351549,0.023618221230903097,0.0310518990469326,False,False
2025-01-31,AAPL,-0.006692283946946764,0.023618221230903097,0.0310518990469326,False,False
2025-02-03,AAPL,-0.03385591098979934,0.023618221230903097,0.0310518990469326,True,True
2025-02-04,AAPL,0.021007882678863554,0.02464031566774211,0.03180205733516181,False,False
2025-02-05,AAPL,-0.001417619337512499,0.02464031566774211,0.03180205733516181,False,False
2025-02-06,AAPL,0.0032262918643093386,0.02464031566774211,0.03180205733516181,False,False
2025-02-07,AAPL,-0.023968753310749102,0.02464031566774211,0.03180205733516181,False,False
2025-02-10,AAPL,0.0011873237271198267,0.02464031566774211,0.03180205733516181,False,False
2025-02-11,AAPL,0.021831831364410137,0.02464031566774211,0.03180205733516181,False,False
2025-02-12,AAPL,0.018270203159199028,0.02464031566774211,0.03180205733516181,False,False
2025-02-13,AAPL,0.01967319998593431,0.02464031566774211,0.03180205733516181,False,False
2025-02-14,AAPL,0.012710697826132211,0.02464031566774211,0.03180205733516181,False,False
2025-02-18,AAPL,-0.0005314234698778897,0.02464031566774211,0.03180205733516181,False,False
2025-02-19,AAPL,0.0016360282099101564,0.02464031566774211,0.03180205733516181,False,False
2025-02-20,AAPL,0.003920517943111657,0.02464031566774211,0.03180205733516181,False,False
2025-02-21,AAPL,-0.00113895905768846,0.02464031566774211,0.03180205733516181,False,False
2025-02-24,AAPL,0.0063123665336812795,0.02464031566774211,0.03180205733516181,False,False
2025-02-25,AAPL,-0.00024291023973121995,0.02464031566774211,0.03180205733516181,False,False
2025-02-26,AAPL,-0.02704006316579821,0.02464031566774211,0.03180205733516181,True,False
2025-02-27,AAPL,-0.012730895296832578,0.025334278605561728,0.03193621665831016,False,False
2025-02-28,AAPL,0.01913186037915815,0.025334278605561728,0.03193621665831016,False,False
2025-03-03,AAPL,-0.01575423145222765,0.025334278605561728,0.03193621665831016,False,False
2025-03-04,AAPL,-0.008822466288638586,0.025334278605561728,0.03193621665831016,False,False
2025-03-05,AAPL,-0.0008052980890261852,0.025334278605561728,0.03193621665831016,False,False
2025-03-06,AAPL,-0.0017392346586670993,0.025334278605561728,0.03193621665831016,False,False
2025-03-07,AAPL,0.015892683419673093,0.02464031566774211,0.03192967193340553,False,False
2025-03-10,AAPL,-0.04847958752014636,0.024029548280180828,0.031596041435726634,True,True
2025-03-11,AAPL,-0.029189322667941164,0.02464031566774211,0.033471097918597925,True,False
2025-03-12,AAPL,-0.017478831034539954,0.025718933014775455,0.03377058489575727,False,False
2025-03-13,AAPL,-0.03364356682026348,0.025718933014775455,0.03377058489575727,True,False
2025-03-14,AAPL,0.018170561422649945,0.026597751955172378,0.03434040842311136,False,False
2025-03-17,AAPL,0.002388893084173116,0.026597751955172378,0.03434040842311136,False,False
2025-03-18,AAPL,-0.006121500615977715,0.026597751955172378,0.03434040842311136,False,False
2025-03-19,AAPL,0.011989176082662256,0.026597751955172378,0.03434040842311136,False,False
2025-03-20,AAPL,-0.005296316723403138,0.026597751955172378,0.03434040842311136,False,False
2025-03-21,AAPL,0.01947689810001929,0.026597751955172378,0.03434040842311136,False,False
2025-03-24,AAPL,0.011270360105469335,0.026597751955172378,0.03434040842311136,False,False
2025-03-25,AAPL,0.013681911591246765,0.026597751955172378,0.03434040842311136,False,False
2025-03-26,AAPL,-0.009921772080253355,0.025718933014775455,0.03321567534640345,False,False
2025-03-27,AAPL,0.010472664818015787,0.025718933014775455,0.03321567534640345,False,False
2025-03-28,AAPL,-0.026580387700292918,0.025718933014775455,0.03321567534640345,True,False
2025-03-31,AAPL,0.019412558903452393,0.026390897995695002,0.03324217740299056,False,False
2025-04-01,AAPL,0.004771909005989006,0.026390897995695002,0.03324217740299056,False,False
2025-04-02,AAPL,0.003136404776352464,0.026390897995695002,0.03324217740299056,False,False
2025-04-03,AAPL,-0.09245605599553952,0.026390897995695002,0.03324217740299056,True,True
2025-04-04,AAPL,-0.07288746190437001,0.026787241659770294,0.03830953650262492,True,True
2025-04-07,AAPL,-0.03673422126260195,0.027114410738255112,0.041836259482515056,True,False
2025-04-08,AAPL,-0.049818177330232194,0.027461780372960785,0.04256925496475519,True,True
2025-04-09,AAPL,0.1532885256174954,0.028215877417580866,0.04426486238732918,False,False
2025-04-10,AAPL,-0.04239378450258846,0.028215877417580866,0.04426486238732918,True,False
2025-04-11,AAPL,0.040594504137098086,0.028928571532497067,0.045314047014475785,False,False
2025-04-14,AAPL,0.02205391747218255,0.028928571532497067,0.045314047014475785,False,False
2025-04-15,AAPL,-0.0018763741147476143,0.028928571532497067,0.045314047014475785,False,False
2025-04-16,AAPL,-0.03893338032138549,0.028928571532497067,0.045314047014475785,True,False
2025-04-17,AAPL,0.013949651319910439,0.029163002038561096,0.04606727111780088,False,False
2025-04-21,AAPL,-0.019392855780080542,0.029163002038561096,0.04606727111780088,False,False
2025-04-22,AAPL,0.0340651558186138,0.029163002038561096,0.04606727111780088,False,False
2025-04-23,AAPL,0.024331483040173962,0.029163002038561096,0.04606727111780088,False,False
2025-04-24,AAPL,0.01842618964238696,0.029163002038561096,0.04606727111780088,False,False
2025-04-25,AAPL,0.004367282856598376,0.029163002038561096,0.04606727111780088,False,False
2025-04-28,AAPL,0.004109347264288132,0.029163002038561096,0.04606727111780088,False,False
2025-04-29,AAPL,0.005091920047891385,0.029163002038561096,0.04606727111780088,False,False
2025-04-30,AAPL,0.006107585626286438,0.029163002038561096,0.04606727111780088,False,False
2025-05-01,AAPL,0.003858818787250806,0.029163002038561096,0.04606727111780088,False,False
2025-05-02,AAPL,-0.03736166699984034,0.029163002038561096,0.04606727111780088,True,False
2025-05-05,AAPL,-0.031458456524213974,0.030416233957728852,0.04669591298948543,True,False
2025-05-06,AAPL,-0.001910697305796516,0.031664257578678925,0.04669591298948543,False,False
2025-05-07,AAPL,-0.011384903053224038,0.031664257578678925,0.04669591298948543,False,False
2025-05-08,AAPL,0.0063185881892058315,0.031664257578678925,0.04669591298948543,False,False
2025-05-09,AAPL,0.005266073450536091,0.031664257578678925,0.04669591298948543,False,False
2025-05-12,AAPL,0.06314610410356525,0.031664257578678925,0.04669591298948543,False,False
2025-05-13,AAPL,0.010152369113843873,0.031664257578678925,0.04669591298948543,False,False
2025-05-14,AAPL,-0.0028177398251642005,0.031664257578678925,0.04669591298948543,False,False
2025-05-15,AAPL,-0.0041445071103577424,0.031664257578678925,0.04669591298948543,False,False
2025-05-16,AAPL,-0.0008985839062412015,0.031664257578678925,0.04669591298948543,False,False
2025-05-19,AAPL,-0.011739158746800094,0.031664257578678925,0.04669591298948543,False,False
2025-05-20,AAPL,-0.00919621752531341,0.031664257578678925,0.04669591298948543,False,False
2025-05-21,AAPL,-0.02305911477177236,0.031664257578678925,0.04669591298948543,False,False
2025-05-22,AAPL,-0.0036121585814256063,0.031664257578678925,0.04669591298948543,False,False
2025-05-23,AAPL,-0.030244403151994836,0.031664257578678925,0.04669591298948543,False,False
2025-05-27,AAPL,0.025298341226390075,0.031664257578678925,0.04669591298948543,False,False
2025-05-28,AAPL,0.0010488851004830657,0.031664257578678925,0.04669591298948543,False,False
2025-05-29,AAPL,-0.002345136061230768,0.031664257578678925,0.04669591298948543,False,False
2025-05-30,AAPL,0.0045011768949494435,0.031664257578678925,0.04669591298948543,False,False
2025-06-02,AAPL,0.004231977503895257,0.031664257578678925,0.04669591298948543,False,False
2025-06-03,AAPL,0.007783918081640806,0.031664257578678925,0.04669591298948543,False,False
2025-06-04,AAPL,-0.002213904838719083,0.031664257578678925,0.04669591298948543,False,False
2025-06-05,AAPL,-0.010797699336839828,0.031664257578678925,0.04669591298948543,False,False
2025-06-06,AAPL,0.01639831188885066,0.031664257578678925,0.04669591298948543,False,False
2025-06-09,AAPL,-0.012112573294913775,0.031664257578678925,0.04669591298948543,False,False
2025-06-10,AAPL,0.006056094961710334,0.031664257578678925,0.04669591298948543,False,False
2025-06-11,AAPL,-0.01919371389939728,0.031664257578678925,0.04669591298948543,False,False
2025-06-12,AAPL,0.002112861287835832,0.031664257578678925,0.04669591298948543,False,False
2025-06-13,AAPL,-0.013805233102505254,0.031664257578678925,0.04669591298948543,False,False
2025-06-16,AAPL,0.010027938173407858,0.031664257578678925,0.04669591298948543,False,False
2025-06-17,AAPL,-0.014010596445348411,0.031664257578678925,0.04669591298948543,False,False
2025-06-18,AAPL,0.004804711122616601,0.031664257578678925,0.04669591298948543,False,False
2025-06-20,AAPL,0.022484525012509637,0.031664257578678925,0.04669591298948543,False,False
2025-06-23,AAPL,0.0024875227541492073,0.031664257578678925,0.04669591298948543,False,False
2025-06-24,AAPL,-0.005955377660487593,0.031664257578678925,0.04669591298948543,False,False
2025-06-25,AAPL,0.006290559785556926,0.031664257578678925,0.04669591298948543,False,False
2025-06-26,AAPL,-0.0027782426676480343,0.031664257578678925,0.04669591298948543,False,False
2025-06-27,AAPL,0.0003979975434207361,0.031664257578678925,0.04669591298948543,False,False
2025-06-30,AAPL,0.02034008166750545,0.031664257578678925,0.04669591298948543,False,False
2025-07-01,AAPL,0.01291618357444646,0.031664257578678925,0.04669591298948543,False,False
2025-07-02,AAPL,0.02223078455769123,0.031664257578678925,0.04669591298948543,False,False
2025-07-03,AAPL,0.005224896020920244,0.031664257578678925,0.04669591298948543,False,False
2025-07-07,AAPL,-0.016857785800466818,0.031664257578678925,0.04669591298948543,False,False
2025-07-08,AAPL,0.0002857369470350424,0.031664257578678925,0.04669591298948543,False,False
2025-07-09,AAPL,0.005380692982602575,0.031664257578678925,0.04669591298948543,False,False
2025-07-10,AAPL,0.00601505145040937,0.031664257578678925,0.04669591298948543,False,False
2025-07-11,AAPL,-0.005884824162426194,0.031664257578678925,0.04669591298948543,False,False
2025-07-14,AAPL,-0.012028889648712626,0.031664257578678925,0.04669591298948543,False,False
2025-07-15,AAPL,0.00234878684197648,0.031664257578678925,0.04669591298948543,False,False
2025-07-16,AAPL,0.005021289252517214,0.031664257578678925,0.04669591298948543,False,False
2025-07-17,AAPL,-0.0006661748290881508,0.031664257578678925,0.04669591298948543,False,False
2025-07-18,AAPL,0.005523257552692451,0.031664257578678925,0.04669591298948543,False,False
2025-07-21,AAPL,0.00615594851958301,0.031664257578678925,0.04669591298948543,False,False
2025-07-22,AAPL,0.009036079429770583,0.031664257578678925,0.04669591298948543,False,False
2025-07-23,AAPL,-0.0011660263965397322,0.031664257578678925,0.04669591298948543,False,False
2025-07-24,AAPL,-0.0018210788753133533,0.031664257578678925,0.04669591298948543,False,False
2025-07-25,AAPL,0.0005612880787413399,0.031664257578678925,0.04669591298948543,False,False
2025-07-28,AAPL,0.0007949030512659494,0.031664257578678925,0.04669591298948543,False,False
2025-07-29,AAPL,-0.012987608774891357,0.031664257578678925,0.04669591298948543,False,False
2025-07-30,AAPL,-0.010507879767783224,0.031664257578678925,0.04669591298948543,False,False
2025-07-31,AAPL,-0.007079645239497334,0.031664257578678925,0.04669591298948543,False,False
2025-08-01,AAPL,-0.025003627425670194,0.031664257578678925,0.04669591298948543,False,False
2025-08-04,AAPL,0.004792984751981866,0.031664257578678925,0.04669591298948543,False,False
2025-08-05,AAPL,-0.0021146466969286237,0.031664257578678925,0.04669591298948543,False,False
2025-08-06,AAPL,0.05090678215297206,0.031664257578678925,0.04669591298948543,False,False
2025-08-07,AAPL,0.03179364967503995,0.031664257578678925,0.04669591298948543,False,False
2025-08-08,AAPL,0.04235786562676558,0.030790727169493434,0.04541063849292056,False,False
2025-08-11,AAPL,-0.00833735937331237,0.030790727169493434,0.04541063849292056,False,False
2025-08-12,AAPL,0.010872419065924621,0.030790727169493434,0.04541063849292056,False,False
2025-08-13,AAPL,0.01602444528652036,0.030790727169493434,0.04541063849292056,False,False
2025-08-14,AAPL,-0.002357234632724192,0.030790727169493434,0.04541063849292056,False,False
2025-08-15,AAPL,-0.005112134601489071,0.030790727169493434,0.04541063849292056,False,False
2025-08-18,AAPL,-0.003022531587090427,0.030790727169493434,0.04541063849292056,False,False
2025-08-19,AAPL,-0.0014292607707683258,0.030790727169493434,0.04541063849292056,False,False
2025-08-20,AAPL,-0.019734587754066668,0.030790727169493434,0.04541063849292056,False,False
2025-08-21,AAPL,-0.004911237335397001,0.030790727169493434,0.04541063849292056,False,False
2025-08-22,AAPL,0.012716749948596506,0.030790727169493434,0.04541063849292056,False,False
2025-08-25,AAPL,-0.0026343741790885167,0.030790727169493434,0.04541063849292056,False,False
2025-08-26,AAPL,0.009464701590599311,0.030790727169493434,0.04541063849292056,False,False
2025-08-27,AAPL,0.005145918125483151,0.030790727169493434,0.04541063849292056,False,False
2025-08-28,AAPL,0.008980879291928812,0.030790727169493434,0.04541063849292056,False,False
2025-08-29,AAPL,-0.0018060204541949787,0.030790727169493434,0.04541063849292056,False,False
2025-09-02,AAPL,-0.01042469754672981,0.030790727169493434,0.04541063849292056,False,False
2025-09-03,AAPL,0.038089829254487784,0.030790727169493434,0.04541063849292056,False,False
2025-09-04,AAPL,0.005493291605817463,0.030790727169493434,0.04541063849292056,False,False
2025-09-05,AAPL,-0.0003753695782166,0.030790727169493434,0.04541063849292056,False,False
2025-09-08,AAPL,-0.0075513878695669945,0.030790727169493434,0.04541063849292056,False,False
2025-09-09,AAPL,-0.014839387013392713,0.030790727169493434,0.04541063849292056,False,False
2025-09-10,AAPL,-0.032259477843797124,0.030790727169493434,0.04541063849292056,True,False
