Portfolio,Number of Backtest Observations,Actual VaR Breaches,Expected VaR Breaches,Breach Rate,Expected Breach Rate,Average Return on Breach Days,Worst Return,Average VaR,Average ES,Interpretation
Equal Weighted Portfolio,336,14,16.800000000000015,0.041666666666666664,0.050000000000000044,-0.037483135746750385,-0.06463199637063444,0.027049132108904663,0.037461679258183396,Reasonable
Long-only Global Minimum Variance Portfolio,336,17,16.800000000000015,0.050595238095238096,0.050000000000000044,-0.029930300755706827,-0.05372885546100987,0.02191367460036216,0.03175689381885508,Reasonable
Long-only Tangency Portfolio,336,15,16.800000000000015,0.044642857142857144,0.050000000000000044,-0.05033560690363836,-0.08611191940742746,0.03393015121951216,0.05205514211262547,Reasonable
