Portfolio,AAPL,GOOG,NVDA,MSFT,AMZN
Equal Weighted Portfolio,0.2,0.2,0.2,0.2,0.2
Long-only Global Minimum Variance Portfolio,0.30017393968727096,0.26337845726853315,0.0,0.3558302531756116,0.08061734986858417
Long-only Tangency Portfolio,0.3871573198585609,0.0,0.5752653896233351,0.03757729051810408,0.0
