Asset,Number of Backtest Observations,Actual VaR Breaches,Expected VaR Breaches,Breach Rate,Expected Breach Rate,Average Return on Breach Days,Worst Return,Average VaR,Average ES,Interpretation
AAPL,339,24,16.950000000000014,0.07079646017699115,0.050000000000000044,-0.03883892837231306,-0.09245612450870921,0.029429426203155494,0.04221242199178424,Reasonable
AMZN,339,20,16.950000000000014,0.058997050147492625,0.050000000000000044,-0.04280167245961281,-0.08979129298487254,0.03003188618029426,0.04562351717595708,Reasonable
GOOG,339,15,16.950000000000014,0.04424778761061947,0.050000000000000044,-0.039889067557253195,-0.07506038187836461,0.029122043321184097,0.041710526112198686,Reasonable
MSFT,339,21,16.950000000000014,0.061946902654867256,0.050000000000000044,-0.035351339352264165,-0.09993146244609463,0.02288485854118214,0.03443143117401007,Reasonable
NVDA,339,12,16.950000000000014,0.035398230088495575,0.050000000000000044,-0.07158896734401694,-0.16968169831960267,0.05001235518377838,0.07162049334276546,Reasonable
