Asset,Jarque-Bera Statistic,P-Value
S&P 500,29737.03073467063,0.0
AAPL,4793.514787608597,0.0
AMZN,2699.6571678995715,0.0
GOOG,2343.2272458845423,0.0
MSFT,6887.392166818454,0.0
NVDA,4573.0384778201305,0.0
