Portfolio,CAGR,Annualized Volatility,Annualized Sharpe Ratio,"Historical VaR (95%, Daily)","Historical ES (95%, Daily)",Beta vs S&P 500
Equal Weighted Portfolio,0.3737738746610897,0.2754579687003275,1.2104746587839348,0.028449792733872117,0.0404196800166574,1.3042397309075624
Global Minimum Variance Portfolio,0.28118787422851343,0.2458930875887259,1.040506864823551,0.023848791212846686,0.03578137134660759,1.177563672789005
Tangency Portfolio,0.5576695240208189,0.36302017317114504,1.3415079046060359,0.035067657803263846,0.05123385650729864,1.5416141445520208
