Portfolio,Model,Refit Frequency,Number of Successful Fits,Number of Failed Refits,Latest Fit End Date,Latest mu,Latest omega,Latest alpha[1],Latest beta[1],Latest alpha[1] + beta[1],Latest nu,Average mu,Average omega,Average alpha[1],Average beta[1],Average alpha[1] + beta[1],Average nu,Stationarity Warning
Equal Weighted Portfolio,GARCH-t,20,18,0,2026-05-14,0.2170981716252496,0.06381959488411643,0.1261162305861766,0.8608293516403691,0.9869455822265457,5.548775602174574,0.21931347346307242,0.06250062533706964,0.12788657542582932,0.8609127942312577,0.9887993696570869,5.527180658569098,None
Long-only Global Minimum Variance Portfolio,GARCH-t,20,18,0,2026-05-14,0.16808258052004502,0.03741740663859512,0.11435752249350822,0.8774829343869768,0.991840456880485,5.489729636044658,0.17137551214034463,0.0348039595916382,0.11384210277853933,0.8800234999125166,0.993865602691056,5.461140546795172,None
Long-only Tangency Portfolio,GARCH-t,20,18,0,2026-05-14,0.26237685614778883,0.1707832757944436,0.10605152563480696,0.8664373651879274,0.9724888908227343,5.053672967527486,0.26706347180163525,0.17518336103772547,0.11066541509376289,0.8634756463899507,0.9741410614837136,4.974174602566458,None
