Portfolio,Model,EWMA Lambda,Estimated nu,Number of Residuals Used,Estimation Status
Equal Weighted Portfolio,EWMA-t,0.94,7.406165010743487,1926,Estimated successfully.
Long-only Global Minimum Variance Portfolio,EWMA-t,0.94,7.187625925653072,1926,Estimated successfully.
Long-only Tangency Portfolio,EWMA-t,0.94,6.637575247381206,1926,Estimated successfully.
