Date,Portfolio,Return,Model,"Rolling VaR (95%, 252D)","Rolling ES (95%, 252D)",VaR Breach,Loss Exceeds ES
2025-11-20,Long-only Global Minimum Variance Portfolio,-0.012990616295649234,EWMA-t,0.015930508791120172,0.021757893761735887,False,False
2025-11-21,Long-only Global Minimum Variance Portfolio,0.011315430767176633,EWMA-t,0.016265933791765705,0.022216017329838352,False,False
2025-11-24,Long-only Global Minimum Variance Portfolio,0.02489890293791616,EWMA-t,0.01638452124736302,0.022377984112832705,False,False
2025-11-25,Long-only Global Minimum Variance Portfolio,0.008870254582352308,EWMA-t,0.018653627164462713,0.025477129665917694,False,False
2025-11-26,Long-only Global Minimum Variance Portfolio,0.004063610392919312,EWMA-t,0.018417789084540084,0.025155021944487693,False,False
2025-11-28,Long-only Global Minimum Variance Portfolio,0.00747397997693122,EWMA-t,0.017927876584732928,0.0244858993029502,False,False
2025-12-01,Long-only Global Minimum Variance Portfolio,-0.003121952921669425,EWMA-t,0.017627798568731198,0.024076052657246237,False,False
2025-12-02,Long-only Global Minimum Variance Portfolio,0.0065979262286308,EWMA-t,0.017134704264421954,0.023402584306150137,False,False
2025-12-03,Long-only Global Minimum Variance Portfolio,-0.007917792621440213,EWMA-t,0.016813566281460395,0.02296397395115441,False,False
2025-12-04,Long-only Global Minimum Variance Portfolio,-0.004294420425772419,EWMA-t,0.016595264930160922,0.022665817899022236,False,False
2025-12-05,Long-only Global Minimum Variance Portfolio,0.0028721295861858357,EWMA-t,0.016177851152039915,0.02209571403365768,False,False
2025-12-08,Long-only Global Minimum Variance Portfolio,-0.002176460003084408,EWMA-t,0.01572551159922209,0.021477908534568574,False,False
2025-12-09,Long-only Global Minimum Variance Portfolio,0.0030877073280689248,EWMA-t,0.01527038870239618,0.020856301543385004,False,False
2025-12-10,Long-only Global Minimum Variance Portfolio,-0.003942423596591684,EWMA-t,0.014854765337346334,0.020288643024738665,False,False
2025-12-11,Long-only Global Minimum Variance Portfolio,-0.003668042775507285,EWMA-t,0.014485208961354946,0.019783902813787294,False,False
2025-12-12,Long-only Global Minimum Variance Portfolio,-0.0074675995509477615,EWMA-t,0.014117613955866288,0.019281841443266272,False,False
2025-12-15,Long-only Global Minimum Variance Portfolio,-0.00957559038485064,EWMA-t,0.013998176618759286,0.01911871389184699,False,False
2025-12-16,Long-only Global Minimum Variance Portfolio,0.00037754051603659116,EWMA-t,0.01408308102155132,0.019234676351054976,False,False
2025-12-17,Long-only Global Minimum Variance Portfolio,-0.011973103978570751,EWMA-t,0.013654858604014632,0.018649810042682548,False,False
2025-12-18,Long-only Global Minimum Variance Portfolio,0.013288863025200359,EWMA-t,0.014049084217403248,0.019188243505589005,False,False
2025-12-19,Long-only Global Minimum Variance Portfolio,0.007482294736344599,EWMA-t,0.014586613627919355,0.019922401338284042,False,False
2025-12-22,Long-only Global Minimum Variance Portfolio,-0.0009895057577464037,EWMA-t,0.014444284939784318,0.01972800877265453,False,False
2025-12-23,Long-only Global Minimum Variance Portfolio,0.007945367703299202,EWMA-t,0.014009644181950925,0.01913437629314887,False,False
2025-12-24,Long-only Global Minimum Variance Portfolio,0.0025281935134930686,EWMA-t,0.01393664063371549,0.019034668024721074,False,False
2025-12-26,Long-only Global Minimum Variance Portfolio,-0.0012193199743233743,EWMA-t,0.013548502595549584,0.01850454897390898,False,False
2025-12-29,Long-only Global Minimum Variance Portfolio,-0.0006824087806581655,EWMA-t,0.01314448551377596,0.017952742320498323,False,False
2025-12-30,Long-only Global Minimum Variance Portfolio,-0.00017422188870481136,EWMA-t,0.0127468689911455,0.017409677552715972,False,False
