Model,Portfolio,Confidence Level,Tail Probability,Number of Observations,Actual VaR Breaches,Expected VaR Breaches,Breach Rate,Expected Breach Rate,Average Return on Breach Days,Worst Return,Average VaR,Average ES,Kupiec LR Statistic,Kupiec p-value,Test Decision,Interpretation
EWMA-t,Equal Weighted Portfolio,0.95,0.050000000000000044,336,22,16.800000000000015,0.06547619047619048,0.050000000000000044,-0.0289663908478026,-0.06463200992855495,0.023933326830168362,0.03258953307757329,1.5503725146330964,0.21308045605551634,Do not reject VaR model,Do not reject: breach frequency is statistically consistent with the VaR confidence level.
EWMA-t,Long-only Global Minimum Variance Portfolio,0.95,0.050000000000000044,336,16,16.800000000000015,0.047619047619047616,0.050000000000000044,-0.027800597764845086,-0.05372886069474003,0.021082761870167322,0.02879484672997192,0.04071808617399597,0.8400830652141444,Do not reject VaR model,Do not reject: breach frequency is statistically consistent with the VaR confidence level.
EWMA-t,Long-only Tangency Portfolio,0.95,0.050000000000000044,336,17,16.800000000000015,0.050595238095238096,0.050000000000000044,-0.04344976039200258,-0.08611180452873583,0.03139690835403549,0.04325515753347696,0.0024968994618461693,0.9601471038190764,Do not reject VaR model,Do not reject: breach frequency is statistically consistent with the VaR confidence level.
