Asset,Jarque-Bera Statistic,P-Value
S&P 500,29737.03073467063,0.0
AAPL,4793.5121849926045,0.0
AMZN,2699.6571678995715,0.0
GOOG,2343.224778278887,0.0
MSFT,6887.324196838292,0.0
NVDA,4573.051976830645,0.0
